,price_clp,price_uf,price_usd,comuna,ubicacion,dorms,baths,built_area,total_area,parking
2289,153000000,4299,190535,PuenteAlto,Laspaulonias,5,2.0,96.0,105.0,1
2290,170000000,4777,211706,LaFlorida,Excelentepropiedad!!!!sectorresidencial,3,2.0,91.0,177.0,0
2291,480429410,13499,598293,Colina,Centraldechicureo/lascanteras,6,6.0,396.0,5000.0,0
2292,599999990,16859,747198,Santiago,SantoDomingo,18,5.0,300.0,550.0,0
2293,320000000,8991,398506,LaCisterna,Propiedadde938m2cercanaaEstaciónMetroElParrón,3,1.0,177.0,938.0,0
2294,1164504800,32720,1450193,LaReina,Juliaberstein,5,4.0,356.0,4000.0,0
2295,219500000,6167,273350,SanBernardo,SanFranciscodeNos,5,3.0,145.0,150.0,1
2296,62900000,1767,78331,PuenteAlto,domingoTocornal,3,1.0,80.0,120.0,1
2297,150000000,4215,186800,LoPrado,MinistroMora,5,2.0,100.0,120.0,0
2298,348782000,9800,434349,SanMiguel,RealAudiencia/SanIgnacio,4,2.0,120.0,300.0,2
2299,339528600,9540,422825,SanMiguel,Departamental/LeónPrado/CarmenMena,8,3.0,253.0,530.0,0
2300,274043000,7700,341274,Colina,CondominioLaDoma,3,3.0,140.0,628.0,2
2301,65592370,1843,81684,PadreHurtado,Cercanoacaminoamelipilla,2,1.0,53.0,58.0,1
2302,293617500,8250,365651,Colina,Ayresdechicureo,3,3.0,104.0,284.0,2
2303,1281240000,36000,1595567,LoBarnechea,BernardoLarrainCotapos,7,5.0,394.0,394.0,8
2304,140000000,3934,174346,Maipú,SeVendeCasaenVillaElVergelenMaipu,4,3.0,109.0,140.0,2
2305,134500000,3779,167497,ElBosque,Paradero38,4,2.0,120.0,180.0,3
2306,127000000,3568,158157,PedroAguirreCerda,Avjulieta-avdepartamentalag-57112/avlazo,3,1.0,70.0,200.0,0
2307,160000000,4496,199253,Peñalolén,LagoCaburga,7,3.0,180.0,180.0,2
2308,280000000,7867,348692,LaFlorida,Araucanía/Raihuén,4,2.0,139.0,199.0,2
2309,547623330,15387,681972,Talagante,PlazaDeTalagante,3,2.0,1338.0,280.0,0
2310,101075600,2840,125872,Maipú,Portalescon3Poniente,2,1.0,50.0,121.0,1
2311,640620000,18000,797783,LaFlorida,RojasMagallanes/EnriqueOlivares,4,3.0,260.0,800.0,0
2312,78000000,2192,97136,Santiago,PresidenteBalmecedaYC60828/RicardoCumming,2,1.0,98.0,98.0,0
2313,109500000,3077,136364,ElBosque,Av.Loblancoconamerica,3,1.0,70.0,300.0,0
2314,370136000,10400,460941,Peñalolén,ValenzuelaLlanos/LaVendimia,5,4.0,160.0,302.0,2
2315,1014315000,28500,1263157,LasCondes,LaForesta/CaminoOtoñal/ColegioPadreHurtadoyJuanitadeLosAndes,6,5.0,373.0,1049.0,5
2316,373695000,10500,465374,LasCondes,JumboBilbao-MetroBilbao/ColegioIgnacio-SanGabriel-IsabelCatolica,3,3.0,140.0,250.0,2
2317,110000000,3091,136986,PedroAguirreCerda,PoblacionDavila,2,1.0,80.0,300.0,0
2318,135000000,3793,168120,QuintaNormal,DoctorJoseTobias138,3,2.0,120.0,210.0,0
2319,605030000,17000,753462,LaReina,SimonGonzálezcarlosossandon,4,3.0,180.0,360.0,3
2320,726036000,20400,904154,LoBarnechea,Av.Ladehesa/golflomasdeladehesa,7,4.0,255.0,650.0,0
2321,272000000,7643,338730,QuintaNormal,VentaCasa5DormitoriosQuintaNormal,5,5.0,209.0,400.0,0
2322,1103325590,31001,1374004,Colina,Brisasdechicureo,5,5.0,580.0,4000.0,4
2323,785435710,22069,978127,Ñuñoa,Campodedeportes/Grecia,5,4.0,230.0,645.0,1
2324,370000000,10396,460772,EstaciónCentral,Ecuadoryalameda,4,2.0,223.0,330.0,0
2325,921781000,25900,1147922,LasCondes,MetroEscuelaMilitar,3,2.0,190.0,670.0,4
2326,683328000,19200,850969,Santiago,Herrera,6,4.0,650.0,690.0,0
2327,150000000,4215,186800,Peñalolén,Avlagogrisam/avlasparcelas,5,2.0,220.0,120.0,1
2328,69000000,1939,85928,PuenteAlto,Hijuelas,3,2.0,40.0,74.0,0
2329,533850000,15000,664819,Pirque,loteoelcruceral1,6,5.0,350.0,5000.0,15
2330,100000000,2810,124533,SanMiguel,Casade1Pisoenexcelenteubicación.,3,2.0,73.0,153.0,0
2331,530000000,14892,660025,Macul,Macul,3,3.0,330.0,600.0,4
2332,170654050,4795,212521,Quilicura,LasTorresyMarcoleta,4,2.0,100.0,129.0,1
2333,420000000,11801,523039,Santiago,SanFrancisco,6,2.0,180.0,360.0,0
2334,765185000,21500,952908,LaReina,Nueva!!!mariamonvel,4,4.0,188.0,518.0,0
2335,320310000,9000,398892,Colina,SantaEelena,3,3.0,165.0,450.0,2
2336,487583000,13700,607202,Vitacura,!!serecibenofertas¡¡/manquehueluispasteur,3,2.0,110.0,240.0,1
2337,95000000,2669,118306,Pudahuel,LaTravesía/Oceania,4,1.0,43.0,100.0,1
2338,327428000,9200,407756,LasCondes,Ayquina,4,2.0,139.0,230.0,2
2339,94000000,2641,117061,LaGranja,Nicanorplaza,3,2.0,110.0,120.0,3
2340,313192000,8800,390027,LaReina,Linchcercadeblestgana,3,1.0,100.0,218.0,2
2341,569475590,16001,709185,Colina,condominiolosmaderos,3,2.0,164.0,620.0,0
2342,138000000,3877,171856,Maipú,CercanoaCaminoaMelipillaCuidadSatelite,3,2.0,127.0,130.0,1
2343,444875000,12500,554016,Vitacura,Vitacura/LoMatta,3,2.0,118.0,115.0,2
2344,117500000,3301,146326,Maipú,PlazaMaipú/LuisGandarillas,2,1.0,100.0,198.0,1
2345,747390000,21000,930747,ElBosque,balmaceda/padrehurtado,4,2.0,700.0,700.0,0
2346,140000000,3934,174346,Santiago,Casade1PisoenBarrioVictoria,3,2.0,157.0,214.0,0
2347,145919000,4100,181717,SanBernardo,LomasdeMirasur/VolcanTatio,3,2.0,74.0,128.0,0
2348,121006000,3400,150692,Macul,Macul,3,1.0,149.0,149.0,1
2349,708241000,19900,881994,Colina,CondominioPoloManquehue,5,5.0,404.0,5595.0,22
2350,140000000,3934,174346,CerroNavia,Av.Costanerasur(ag)/laestrella,4,1.0,270.0,270.0,2
2351,440960100,12390,549141,Colina,Colina,4,5.0,175.0,800.0,4
